area,area_code,area_name,year,sort,category,MYE
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,8,United Kingdom Inflows,12245
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,9,United Kingdom Outflows,11858
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,10,United Kingdom Net,387
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,11,Rest of world Inflows,8174
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,12,Rest of world Outflows,6996
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,13,Rest of world Net,1178
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,14,Total Inflows,20419
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,15,Total Outflows,18854
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,16,Total Net,1565
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,17,Other changes,240
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,18,Migration and other changes,1805
1. Northern Ireland,N92000002,NORTHERN IRELAND,2003/2004,19,End population,1714042
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,1,Starting population,1714042
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,2,Births,22549
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,3,Deaths,14390
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,4,Natural Change,8159
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,8,United Kingdom Inflows,13298
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,9,United Kingdom Outflows,11291
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,10,United Kingdom Net,2007
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,11,Rest of world Inflows,12544
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,12,Rest of world Outflows,8861
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,13,Rest of world Net,3683
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,14,Total Inflows,25842
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,15,Total Outflows,20152
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,16,Total Net,5690
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,17,Other changes,-158
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,18,Migration and other changes,5532
1. Northern Ireland,N92000002,NORTHERN IRELAND,2004/2005,19,End population,1727733
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,1,Starting population,1727733
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,2,Births,22714
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,3,Deaths,14211
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,4,Natural Change,8503
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,8,United Kingdom Inflows,12380
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,9,United Kingdom Outflows,11510
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,10,United Kingdom Net,870
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,11,Rest of world Inflows,15803
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,12,Rest of world Outflows,8797
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,13,Rest of world Net,7006
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,14,Total Inflows,28183
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,15,Total Outflows,20307
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,16,Total Net,7876
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,17,Other changes,-999
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,18,Migration and other changes,6877
1. Northern Ireland,N92000002,NORTHERN IRELAND,2005/2006,19,End population,1743113
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,1,Starting population,1743113
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,2,Births,23850
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,3,Deaths,14555
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,4,Natural Change,9295
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,8,United Kingdom Inflows,12932
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,9,United Kingdom Outflows,11142
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,10,United Kingdom Net,1790
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,11,Rest of world Inflows,19773
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,12,Rest of world Outflows,10633
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,13,Rest of world Net,9140
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,14,Total Inflows,32705
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,15,Total Outflows,21775
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,16,Total Net,10930
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,17,Other changes,-1655
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,18,Migration and other changes,9275
1. Northern Ireland,N92000002,NORTHERN IRELAND,2006/2007,19,End population,1761683
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,1,Starting population,1761683
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,2,Births,25227
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,3,Deaths,14462
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,4,Natural Change,10765
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,8,United Kingdom Inflows,12141
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,9,United Kingdom Outflows,10707
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,10,United Kingdom Net,1434
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,11,Rest of world Inflows,18261
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,12,Rest of world Outflows,11981
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,13,Rest of world Net,6280
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,14,Total Inflows,30402
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,15,Total Outflows,22688
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,16,Total Net,7714
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,17,Other changes,-1010
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,18,Migration and other changes,6704
1. Northern Ireland,N92000002,NORTHERN IRELAND,2007/2008,19,End population,1779152
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,1,Starting population,1779152
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,2,Births,25276
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,3,Deaths,14566
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,4,Natural Change,10710
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,8,United Kingdom Inflows,10857
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,9,United Kingdom Outflows,10198
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,10,United Kingdom Net,659
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,11,Rest of world Inflows,14404
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,12,Rest of world Outflows,11406
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,13,Rest of world Net,2998
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,14,Total Inflows,25261
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,15,Total Outflows,21604
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,16,Total Net,3657
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,17,Other changes,-186
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,18,Migration and other changes,3471
1. Northern Ireland,N92000002,NORTHERN IRELAND,2008/2009,19,End population,1793333
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,1,Starting population,1793333
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,2,Births,24981
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,3,Deaths,14006
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,4,Natural Change,10975
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,8,United Kingdom Inflows,10667
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,9,United Kingdom Outflows,11279
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,10,United Kingdom Net,-612
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,11,Rest of world Inflows,13877
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,12,Rest of world Outflows,12115
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,13,Rest of world Net,1762
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,14,Total Inflows,24544
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,15,Total Outflows,23394
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,16,Total Net,1150
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,17,Other changes,-625
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,18,Migration and other changes,525
1. Northern Ireland,N92000002,NORTHERN IRELAND,2009/2010,19,End population,1804833
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,1,Starting population,1804833
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,2,Births,25424
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,3,Deaths,14184
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,4,Natural Change,11240
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,8,United Kingdom Inflows,10323
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,9,United Kingdom Outflows,11121
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,10,United Kingdom Net,-798
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,11,Rest of world Inflows,13401
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,12,Rest of world Outflows,14097
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,13,Rest of world Net,-696
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,14,Total Inflows,23724
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,15,Total Outflows,25218
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,16,Total Net,-1494
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,17,Other changes,-261
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,18,Migration and other changes,-1755
1. Northern Ireland,N92000002,NORTHERN IRELAND,2010/2011,19,End population,1814318
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,1,Starting population,1814318
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,2,Births,25324
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,3,Deaths,14235
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,4,Natural Change,11089
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,8,United Kingdom Inflows,10333
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,9,United Kingdom Outflows,12090
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,10,United Kingdom Net,-1757
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,11,Rest of world Inflows,12922
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,12,Rest of world Outflows,12480
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,13,Rest of world Net,442
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,14,Total Inflows,23255
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,15,Total Outflows,24570
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,16,Total Net,-1315
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,17,Other changes,-458
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,18,Migration and other changes,-1773
1. Northern Ireland,N92000002,NORTHERN IRELAND,2011/2012,19,End population,1823634
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,1,Starting population,1823634
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,2,Births,24527
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,3,Deaths,14968
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,4,Natural Change,9559
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,8,United Kingdom Inflows,10364
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,9,United Kingdom Outflows,11815
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,10,United Kingdom Net,-1451
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,11,Rest of world Inflows,12736
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,12,Rest of world Outflows,13623
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,13,Rest of world Net,-887
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,14,Total Inflows,23100
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,15,Total Outflows,25438
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,16,Total Net,-2338
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,17,Other changes,-1130
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,18,Migration and other changes,-3468
1. Northern Ireland,N92000002,NORTHERN IRELAND,2012/2013,19,End population,1829725
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,1,Starting population,1829725
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,2,Births,24185
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,3,Deaths,14337
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,4,Natural Change,9848
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,8,United Kingdom Inflows,11081
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,9,United Kingdom Outflows,11747
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,10,United Kingdom Net,-666
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,11,Rest of world Inflows,13300
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,12,Rest of world Outflows,11063
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,13,Rest of world Net,2237
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,14,Total Inflows,24381
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,15,Total Outflows,22810
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,16,Total Net,1571
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,17,Other changes,-646
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,18,Migration and other changes,925
1. Northern Ireland,N92000002,NORTHERN IRELAND,2013/2014,19,End population,1840498
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,1,Starting population,1840498
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,2,Births,24187
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,3,Deaths,15403
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,4,Natural Change,8784
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,8,United Kingdom Inflows,10473
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,9,United Kingdom Outflows,11236
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,10,United Kingdom Net,-763
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,11,Rest of world Inflows,13093
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,12,Rest of world Outflows,10298
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,13,Rest of world Net,2795
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,14,Total Inflows,23566
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,15,Total Outflows,21534
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,16,Total Net,2032
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,17,Other changes,307
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,18,Migration and other changes,2339
1. Northern Ireland,N92000002,NORTHERN IRELAND,2014/2015,19,End population,1851621
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,1,Starting population,1851621
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,2,Births,24379
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,3,Deaths,15341
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,4,Natural Change,9038
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,8,United Kingdom Inflows,10806
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,9,United Kingdom Outflows,10806
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,10,United Kingdom Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,11,Rest of world Inflows,12998
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,12,Rest of world Outflows,11540
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,13,Rest of world Net,1458
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,14,Total Inflows,23804
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,15,Total Outflows,22346
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,16,Total Net,1458
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,17,Other changes,20
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,18,Migration and other changes,1478
1. Northern Ireland,N92000002,NORTHERN IRELAND,2015/2016,19,End population,1862137
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,1,Starting population,1862137
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,2,Births,23598
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,3,Deaths,15901
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,4,Natural Change,7697
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,6,Internal Outflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,7,Internal Net,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,8,United Kingdom Inflows,10759
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,9,United Kingdom Outflows,10167
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,10,United Kingdom Net,592
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,11,Rest of world Inflows,11310
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,12,Rest of world Outflows,10727
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,13,Rest of world Net,583
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,14,Total Inflows,22069
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,15,Total Outflows,20894
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,16,Total Net,1175
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,17,Other changes,-175
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,18,Migration and other changes,1000
1. Northern Ireland,N92000002,NORTHERN IRELAND,2016/2017,19,End population,1870834
1. Northern Ireland,N92000002,NORTHERN IRELAND,2017/2018,1,Starting population,1870834
1. Northern Ireland,N92000002,NORTHERN IRELAND,2017/2018,2,Births,23056
1. Northern Ireland,N92000002,NORTHERN IRELAND,2017/2018,3,Deaths,16365
1. Northern Ireland,N92000002,NORTHERN IRELAND,2017/2018,4,Natural Change,6691
1. Northern Ireland,N92000002,NORTHERN IRELAND,2017/2018,5,Internal Inflows,0
1. Northern Ireland,N92000002,NORTHERN IRELAND,2017/2018,6,Internal Outflows,0
